Site Name,Sample Collection Date,Concentration,7dra_centered
Brightwater,12/11/2023,1008486900,969964907.4285715
Brightwater,12/12/2023,971283135,924681967.0
Brightwater,12/13/2023,886814665,866558362.4285715
Brightwater,12/14/2023,802346194,795594093.7142857
Brightwater,12/15/2023,717877724,745207124.7142857
Brightwater,12/16/2023,633409254,715397455.4285715
Brightwater,12/17/2023,548940784,733080707.2857143
Brightwater,12/18/2023,655778117,798256880.4285715
Brightwater,12/19/2023,762615450,910925974.5714285
Brightwater,12/20/2023,1010597428,1071087989.8571428
Brightwater,12/21/2023,1258579406,1278742926.142857
Brightwater,12/22/2023,1506561383,1499411780.4285715
Brightwater,12/23/2023,1754543361,1733094552.5714285
Brightwater,12/24/2023,2002525338,1963524094.4285715
Brightwater,12/25/2023,2200460097,2190700406.0
Brightwater,12/26/2023,2398394855,2414623487.428571
Brightwater,12/27/2023,2623604221,2635293338.428571
Brightwater,12/28/2023,2848813587,2852709959.285714
Brightwater,12/29/2023,3074022953,3074022952.571429
Brightwater,12/30/2023,3299232318,3299232318.428571
Brightwater,12/31/2023,3524441684,3463451260.142857
Brightwater,01/01/2024,3749651050,3566679777.857143
Brightwater,01/02/2024,3974860416,3608917871.571429
Brightwater,01/03/2024,3773136813,3590165541.428571
Brightwater,01/04/2024,3571413211,3510422787.285714
Brightwater,01/05/2024,3369689609,3346498307.285714
Brightwater,01/06/2024,3167966007,3098392101.428571
Brightwater,01/07/2024,2966242405,2852294817.285714
Brightwater,01/08/2024,2602179690,2608206454.857143
Brightwater,01/09/2024,2238116975,2366127014.0
Brightwater,01/10/2024,2050455824,2126056494.7142856
Brightwater,01/11/2024,1862794674,1887994897.0
Brightwater,01/12/2024,1675133523,1698324824.5714285
Brightwater,01/13/2024,1487472372,1557046277.4285715
Brightwater,01/14/2024,1299811221,1437387317.142857
Brightwater,01/15/2024,1274489183,1339347943.4285715
Brightwater,01/16/2024,1249167145,1262928156.5714285
Brightwater,01/17/2024,1212843102,1208127956.4285715
Brightwater,01/18/2024,1176519058,1174947343.142857
Brightwater,01/19/2024,1140195015,1170293763.2857144
